kode_kabupaten,kode_provinsi,name
11.01,11,Aceh Selatan
11.02,11,Aceh Tenggara
11.03,11,Aceh Timur
11.04,11,Aceh Tengah
11.05,11,Aceh Barat
11.06,11,Aceh Besar
11.07,11,Pidie
11.08,11,Aceh Utara
11.09,11,Simeulue
11.10,11,Aceh Singkil
11.11,11,Bireuen
11.12,11,Aceh Barat Daya
11.13,11,Gayo Lues
11.14,11,Aceh Jaya
11.15,11,Nagan Raya
11.16,11,Aceh Tamiang
11.17,11,Bener Meriah
11.18,11,Pidie Jaya
11.71,11,Kota Banda Aceh
11.72,11,Kota Sabang
11.73,11,Kota Lhokseumawe
11.74,11,Kota Langsa
11.75,11,Kota Subulussalam
12.01,12,Tapanuli Tengah
12.02,12,Tapanuli Utara
12.03,12,Tapanuli Selatan
12.04,12,Nias
12.05,12,Langkat
12.06,12,Karo
12.07,12,Deli Serdang
12.08,12,Simalungun
12.09,12,Asahan
12.10,12,Labuhanbatu
12.11,12,Dairi
12.12,12,Toba
12.13,12,Mandailing Natal
12.14,12,Nias Selatan
12.15,12,Pakpak Bharat
12.16,12,Humbang Hasundutan
12.17,12,Samosir
12.18,12,Serdang Bedagai
12.19,12,Batu Bara
12.20,12,Padang Lawas Utara
12.21,12,Padang Lawas
12.22,12,Labuhanbatu Selatan
12.23,12,Labuhanbatu Utara
12.24,12,Nias Utara
12.25,12,Nias Barat
12.71,12,Kota Medan
12.72,12,Kota Pematangsiantar
12.73,12,Kota Sibolga
12.74,12,Kota Tanjung Balai
12.75,12,Kota Binjai
12.76,12,Kota Tebing Tinggi
12.77,12,Kota Padangsidimpuan
12.78,12,Kota Gunungsitoli
13.01,13,Pesisir Selatan
13.02,13,Solok
13.03,13,Sijunjung
13.04,13,Tanah Datar
13.05,13,Padang Pariaman
13.06,13,Agam
13.07,13,Lima Puluh Kota
13.08,13,Pasaman
13.09,13,Kepulauan Mentawai
13.10,13,Dharmasraya
13.11,13,Solok Selatan
13.12,13,Pasaman Barat
13.71,13,Kota Padang
13.72,13,Kota Solok
13.73,13,Kota Sawahlunto
13.74,13,Kota Padang Panjang
13.75,13,Kota Bukittinggi
13.76,13,Kota Payakumbuh
13.77,13,Kota Pariaman
14.01,14,Kampar
14.02,14,Indragiri Hulu
14.03,14,Bengkalis
14.04,14,Indragiri Hilir
