kode_kecamatan,kode_kabupaten,kode_provinsi,name
01,01,11,Bakongan
02,01,11,Kluet Utara
03,01,11,Kluet Selatan
04,01,11,Labuhan Haji
05,01,11,Meukek
06,01,11,Samadua (Sama Dua)
07,01,11,Sawang
08,01,11,Tapaktuan (Tapak Tuan)
09,01,11,Trumon
10,01,11,Pasi Raja (Pasie Raja)
11,01,11,Labuhan Haji Timur
12,01,11,Labuhan Haji Barat
13,01,11,Kluet Tengah
14,01,11,Kluet Timur
15,01,11,Bakongan Timur
16,01,11,Trumon Timur
17,01,11,Kota Bahagia
18,01,11,Trumon Tengah
01,02,11,Lawe Alas
02,02,11,Lawe Sigala Gala
03,02,11,Bambel
04,02,11,Babussalam
05,02,11,Badar
06,02,11,Babul Makmur
07,02,11,Darul Hasanah
08,02,11,Lawe Bulan
09,02,11,Bukit Tusam
10,02,11,Semadam
11,02,11,Babul Rahmah
12,02,11,Ketambe
13,02,11,Deleng Pokhkisen (Deleng Pokhisen)
14,02,11,Lawe Sumur
15,02,11,Tanoh Alas (Tanah Alas)
16,02,11,Leuser
01,03,11,Darul Aman
02,03,11,Julok
03,03,11,Idi Rayeuk
04,03,11,Birem Bayeun
05,03,11,Serbajadi
06,03,11,Nurussalam
07,03,11,Peureulak
08,03,11,Rantau Selamat
09,03,11,Simpang Ulim
10,03,11,Rantau Peureulak (Ranto Peureulak)
11,03,11,Pante Bidari
12,03,11,Madat
13,03,11,Indra Makmu (Indra Makmur)
14,03,11,Idi Tunong
15,03,11,Banda Alam
16,03,11,Peudawa
17,03,11,Peureulak Timur
18,03,11,Peureulak Barat
19,03,11,Sungai Raya
20,03,11,Simpang Jernih
21,03,11,Darul Ihsan (Iksan)
22,03,11,Darul Falah
23,03,11,Idi Timur
24,03,11,Peunaron
01,04,11,Linge
02,04,11,Silih Nara
03,04,11,Bebesen
07,04,11,Pegasing
08,04,11,Bintang
10,04,11,Ketol
11,04,11,Kebayakan
12,04,11,Kute Panang
13,04,11,Celala
17,04,11,Laut Tawar (Lut Tawar)
18,04,11,Atu Lintang
19,04,11,Jagong Jeget
20,04,11,Bies
21,04,11,Rusip Antara
01,05,11,Johan Pahwalan (Johan Pahlawan)
02,05,11,Kaway XVI
03,05,11,Sungai Mas
04,05,11,Woyla
05,05,11,Samatiga
06,05,11,Bubon
07,05,11,Arongan Lambalek
08,05,11,Pante Ceureumen (Pantai Ceuremen)
09,05,11,Meureubo
10,05,11,Woyla Barat
11,05,11,Woyla Timur
12,05,11,Panton Reu
01,06,11,Lhoong
02,06,11,Lhoknga (Lho'nga)
03,06,11,Indrapuri
04,06,11,Seulimeum
05,06,11,Montasik (Mantasiek)
06,06,11,Sukamakmur (Suka Makmur)
07,06,11,Darul Imarah
08,06,11,Peukan Bada
09,06,11,Mesjid Raya
10,06,11,Ingin Jaya
11,06,11,Kuta Baro
12,06,11,Darussalam
13,06,11,Pulo Aceh
14,06,11,Lembah Seulawah
15,06,11,Kota Jantho
16,06,11,Kuta Cot Glie (Kota Cot Glie)
17,06,11,Kuta Malaka (Kota Malaka)
18,06,11,Simpang Tiga
19,06,11,Darul Kamal
20,06,11,Baitussalam
21,06,11,Krueng Barona Jaya
22,06,11,Leupung
23,06,11,Blang Bintang (Blank Bintang)
03,07,11,Batee
04,07,11,Delima
05,07,11,Geumpang
06,07,11,Glumpang Tiga (Geulumpang Tiga)
07,07,11,Indrajaya (Indra Jaya)
08,07,11,Kembang Tanjong
09,07,11,Kota Sigli
11,07,11,Mila
12,07,11,Muara Tiga
13,07,11,Mutiara
14,07,11,Padang Tiji
15,07,11,Peukan Baro
16,07,11,Pidie
17,07,11,Sakti
18,07,11,Simpang Tiga
19,07,11,Tangse
21,07,11,Tiro/Truseb
22,07,11,Keumala
24,07,11,Mutiara Timur
25,07,11,Grong Grong
27,07,11,Mane
29,07,11,Glumpang Baro
31,07,11,Titeue
01,08,11,Baktiya
02,08,11,Dewantara
03,08,11,Kuta Makmur
04,08,11,Lhoksukon
05,08,11,Matangkuli
06,08,11,Muara Batu
07,08,11,Meurah Mulia
08,08,11,Samudera
09,08,11,Seunuddon (Seunudon)
10,08,11,Syamtalira Aron
11,08,11,Syamtalira Bayu
12,08,11,Tanah Luas
13,08,11,Tanah Pasir
14,08,11,T. Jambo Aye (Tanah Jambo Aye)
15,08,11,Sawang
16,08,11,Nisam
17,08,11,Cot Girek
18,08,11,Langkahan
19,08,11,Baktiya Barat
20,08,11,Paya Bakong
21,08,11,Nibong
22,08,11,Simpang Kramat (Keramat)
23,08,11,Lapang
24,08,11,Pirak Timur
25,08,11,Geuredong Pase
26,08,11,Banda Baro
27,08,11,Nisam Antara
01,09,11,Simeulue Tengah (Simeuleu Tengah)
02,09,11,Salang
03,09,11,Teupah Barat
04,09,11,Simeulue Timur (Simeuleu Timur)
05,09,11,Teluk Dalam
06,09,11,Simeulue Barat (Simeuleu Barat)
07,09,11,Teupah Selatan
08,09,11,Alafan (Alapan)
09,09,11,Teupah Tengah
10,09,11,Simeulue Cut
01,10,11,Pulau Banyak
02,10,11,Simpang Kanan
04,10,11,Singkil
06,10,11,Gunung Meriah (Mariah)
