kode_kelurahan,kode_kecamatan,kode_kabupaten,kode_provinsi,name
2002,01,01,11,Ujong Mangki (Ujung Mangki)
2003,01,01,11,Ujong Padang (Ujung Padang)
2004,01,01,11,Gampong Drien (Kampung Drien)
2015,01,01,11,Darul Ikhsan
2016,01,01,11,Padang Beurahan (Padang Berahan)
2017,01,01,11,Gampong Baro (Kampung Baru)
2001,02,01,11,Fajar Harapan
2002,02,01,11,Krueng Batee
2003,02,01,11,Pasi Kuala Asahan
2004,02,01,11,Gunung Pulo (Gunong Pulo)
2005,02,01,11,Pulo Ie I
2006,02,01,11,Jambo Manyang
2007,02,01,11,Simpang Empat
2008,02,01,11,Limau Purut (Kota Fajar)
2009,02,01,11,Pulo Kambing
2010,02,01,11,Kampung Paya
2011,02,01,11,Krueng Batu
2012,02,01,11,Krueng Kluet
2013,02,01,11,Alur Mas
2014,02,01,11,Kampung Tinggi
2015,02,01,11,Ruak (Kampung Ruak)
2016,02,01,11,Simpang Lhee
2017,02,01,11,Suaq Geuringgeng (Geringgeng)
2018,02,01,11,Pasi Kuala Ba'u (Pasi Kuala Bau)
2019,02,01,11,Kedai Padang
2020,02,01,11,Kotafajar
2021,02,01,11,Gunung Pudung
2001,03,01,11,Suaq Bakung (Suaq Bakong)
2002,03,01,11,Rantau Binuang
2003,03,01,11,Barat Daya
2004,03,01,11,Sialang
2005,03,01,11,Kapeh
2006,03,01,11,Pulo Ie
2007,03,01,11,Kedai Runding
2008,03,01,11,Kedai Kandang
2009,03,01,11,Luar (Gampong Luar)
2010,03,01,11,Ujung
2011,03,01,11,Jua
2012,03,01,11,Pasi Meurapat (Pasi Merapat)
2013,03,01,11,Ujung Pasir
2014,03,01,11,Geulumbuk (Gelumbuk)
2015,03,01,11,Pasie Lembang (Pasi Lembang)
2016,03,01,11,Ujung Padang
2017,03,01,11,Indra Damai
2001,04,01,11,Bakau Hulu
2002,04,01,11,Padang Bakau
2003,04,01,11,Manggis Harapan
2004,04,01,11,Pasar Lama
2005,04,01,11,Apha
2006,04,01,11,Ujung Batu
2007,04,01,11,Pawoh
2008,04,01,11,Dalam
2009,04,01,11,Kota Palak
2010,04,01,11,Cacang
2011,04,01,11,Tengah Pisang
2012,04,01,11,Pisang
2013,04,01,11,Hulu Pisang
2014,04,01,11,Tengah Baru
2015,04,01,11,Lembah Baru
2016,04,01,11,Padang Baru
2001,05,01,11,Kuta Buloh II
2002,05,01,11,Kuta Buloh I
2003,05,01,11,Ie/Le Dingen
2004,05,01,11,Drien Jalo
2005,05,01,11,Jambo Papeun
2006,05,01,11,Buket Meuh
2007,05,01,11,Blang Kuala
